objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,proceso,soporte,iluminacion,tono,tipologia,polaridad
demo_016,Ambrotipo,1855,,Anónimo,,"Vista exterior de una residencia de mediados del siglo XIX, construida con mampostería y refuerzos en las esquinas. La propiedad cuenta con un cercado de madera y árboles caducifolios. Un carruaje con un equino y una figura humana se encuentran frente a la entrada, capturando una escena de la vida cotidiana de una familia acomodada de la época.",,Ambrotipo; Arquitectura vernácula; Siglo XIX,Noreste de Estados Unidos (posiblemente Massachusetts o Nueva York),42.3601,-71.0589,,,,,,,,Image;StillImage,image/jpeg,es,,demo_016.jpg,zrhwo8,image,/objects/demo_016.jpg,/objects/small/demo_016_sm.jpg,/objects/thumbs/demo_016_th.jpg,,,Albúmina,Vidrio,Transmisión,Monocromático,Impresión,Positivo
demo_017,Ambrotipo,1854,,Isaac A. Rehn,,"Retrato de estudio de un joven de mediados del siglo XIX, representado de medio cuerpo con una pose formal. El sujeto luce un peinado con raya lateral y una barba de collar (chin curtain). Viste una indumentaria de época que consiste en una levita oscura, chaleco a juego, camisa de cuello alto y un corbatín ancho.",,Ambrotipo; Retrato decimonónico; Isaac A. Rehn,"Philadelphia, Pensilvania, EE. UU.",39.9526,-75.1652,,,,,,,,Image;StillImage,image/jpeg,es,,demo_017.jpg,chr578,image,/objects/demo_017.jpg,/objects/small/demo_017_sm.jpg,/objects/thumbs/demo_017_th.jpg,,,Daguerrotipo,Vidrio,Transmisión,Monocromático,Impresión,Positivo
impresion_001,Cabinet Card,1895,,George H. Younge,,"Retrato de estudio de un hombre joven capturado en tres cuartos de perfil. El sujeto viste un atuendo formal compuesto por un saco oscuro con pañuelo de bolsillo, camisa de cuello alto rígido y una corbata ancha de estilo victoriano. La fotografía muestra un acabado en viñeta que difumina los bordes inferiores del retrato sobre un fondo neutro.",,Cabinet Card; Retrato Victoriano; Utica NY,"Franklin Square, Utica, Nueva York, Estados Unidos",43.1026,-75.2288,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_001.jpg,9s9vm,image,/objects/impresion_001.jpg,/objects/small/impresion_001_sm.jpg,/objects/thumbs/impresion_001_th.jpg,,,Albúmina,Papel,Reflexión,Policromático,Impresión,Positivo
impresion_002,Carte-de-visite,1862,,Anónimo,,"Retrato de estudio de una mujer joven en posición sedente, vestida con un traje de época de color oscuro con patrón de puntos blancos. Luce un collar de perlas con un camafeo central, mangas abullonadas y un tocado de encaje oscuro. La composición es formal, con un fondo neutro y una mesa lateral con mantel ornamental.",,Carte-de-visite; Moda victoriana; Albúmina,Estados Unidos o Europa Occidental (entorno urbano),38.9072,-77.0369,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_002.jpg,eg892x,image,/objects/impresion_002.jpg,/objects/small/impresion_002_sm.jpg,/objects/thumbs/impresion_002_th.jpg,,,Albúmina,Papel,Reflexión,Sepia,Impresión,Positivo
impresion_003,Sullivan Bros,1895,,Sullivan Bros.,,"Retrato de estudio de un niño de pie junto a un pedestal de piedra ornamental. El menor luce un peinado formal con raya lateral y viste un traje oscuro con una chaqueta de diseño plisado en el frente, botones centrales y pantalones cortos tipo knickerbockers con medias oscuras. El fondo presenta un telón pintado con motivos de follaje brumoso.",,Sullivan Bros; Hudson New York; Cabinet Card,"425 Warren Street, Hudson, Nueva York, EE. UU.",42.2526,-73.7882,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_003.jpg,saj8qd,image,/objects/impresion_003.jpg,/objects/small/impresion_003_sm.jpg,/objects/thumbs/impresion_003_th.jpg,,,Impresión plata gelatina de revelado,Papel,Reflexión,Monocromático,Impresión,Positivo
impresion_004,Tarjeta de gabinete,1885,,Charles L. Thomas,,"Retrato de estudio de un hombre de mediana edad con bigote, vestido con un traje formal de tres piezas y leontina de reloj visible en el chaleco. El sujeto posa de pie apoyando su mano sobre una silla de estilo victoriano con respaldo ornamentado, frente a un telón pintado con motivos clásicos.",,Tarjeta de gabinete; Retrato victoriano; Moda masculina 1890,"Esquina de las calles Main y Market, Ottumwa, Iowa, Estados Unidos",41.0198,-92.4115,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_004.jpg,ki9sl,image,/objects/impresion_004.jpg,/objects/small/impresion_004_sm.jpg,/objects/thumbs/impresion_004_th.jpg,,,Albúmina,Vidrio,Transmisión,Policromático,Negativo,Negativo
impresion_005,Estereoscopía,1901,,Underwood & Underwood,,"Vista estereoscópica que muestra una embarcación de vela latina, típica del Lago Lemán, navegando durante el atardecer frente a Montreux, Suiza. La composición destaca la silueta oscura de las velas contra un cielo crepuscular iluminado, capturando el reflejo del sol en la superficie tranquila del agua en un formato diseñado para la visualización en 3D.",,Estereoscopía; Lago Lemán; Navegación,"Montreux, Suiza",46.4312,6.9107,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_005.jpg,engknb,image,/objects/impresion_005.jpg,/objects/small/impresion_005_sm.jpg,/objects/thumbs/impresion_005_th.jpg,,,Colodión húmedo,Papel,Reflexión,Policromático,Impresión,Positivo
impresion_006,Polaroid,1975,,Anónimo (Fotógrafo de catálogo o galerista),,"Una fotografía instantánea que registra una obra de arte enmarcada. La pintura muestra dos cebras estilizadas sobre un fondo pálido; una se encuentra de pie mientras la otra descansa en el suelo. El cuadro tiene un paspartú rojo y un marco de madera, y está colocado en un entorno exterior donde se aprecia una silla de jardín de hierro forjado blanco y el revestimiento de madera de una construcción al fondo.",,Polaroid; Arte animalista; Registro de inventario,"Estados Unidos (Probablemente Cambridge, Massachusetts)",42.3736,-71.1097,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_006.jpg,l0ptx,image,/objects/impresion_006.jpg,/objects/small/impresion_006_sm.jpg,/objects/thumbs/impresion_006_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Policromático,Impresión,Positivo
impresion_007,Ebanistería,1975,,Anónimo (Departamento de Fotografía del Museo),,"Detalle fotográfico de una columna o soporte de madera tallada con motivos ornamentales. La pieza presenta relieves profundos de hojas entrelazadas sobre una superficie con textura granulada, representativa de la artesanía en madera en contextos arquitectónicos o de mobiliario histórico mexicano, resaltada por una iluminación de estudio que enfatiza el volumen.",,Ebanistería; Hoja de acanto; Estilo Federal,"Metropolitan Museum of Art, Nueva York, Estados Unidos",40.7794,-73.9632,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_007.jpg,e3d2n,image,/objects/impresion_007.jpg,/objects/small/impresion_007_sm.jpg,/objects/thumbs/impresion_007_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Policromático,Negativo,Negativo
impresion_008,Fotografía vernácula,1965,,Anónimo,,Retrato de una mujer de edad avanzada posando de pie en un entorno exterior frente a un arbusto denso. Viste un vestido estampado de manga corta con botones al frente y anteojos de montura oscura. La composición es un retrato vernáculo típico de la fotografía familiar mexicana de mediados del siglo XX.,,Fotografía vernácula; Kodak Instamatic; Degradación cromática; Retrato doméstico,Estados Unidos (Región Noreste o Medio Oeste),40.7128,-74.006,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_008.jpg,u1fn0l,image,/objects/impresion_008.jpg,/objects/small/impresion_008_sm.jpg,/objects/thumbs/impresion_008_th.jpg,,,Copia fotográfica sobre papel,Película,Transmisión,Policromático,Negativo,Negativo
impresion_009,Carrusel,1968,,Anónimo,,"Una niña de cabello claro y rizado sonríe mientras monta un caballo de carrusel en lo que parece ser una feria o parque de atracciones. La escena captura un momento de ocio infantil característico de la fotografía familiar de mediados del siglo XX, destacando los detalles ornamentales del carrusel y las luces decorativas al fondo que evocan la atmósfera recreativa de la época.",,Carrusel; Kodak Instamatic; Moda infantil,Estados Unidos (Parque de atracciones regional),39.8283,-98.5795,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_009.jpg,3di1q,image,/objects/impresion_009.jpg,/objects/small/impresion_009_sm.jpg,/objects/thumbs/impresion_009_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Policromático,Negativo,Negativo
impresion_010,Escena doméstica,1975,,Anónimo,,"Una mujer adulta con anteojos y suéter de rayas sostiene a una niña pequeña en su regazo mientras están sentadas en un sofá con tapicería floral. La escena retrata un ambiente doméstico familiar íntimo, característico de interiores residenciales de finales de la década de 1970, reflejando la moda y el estilo de vida de la clase media en ese periodo.",,Escena doméstica; Retrato familiar; Años 1970,"Madrid, España",40.4168,-3.7038,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_010.jpg,tu41gg,image,/objects/impresion_010.jpg,/objects/small/impresion_010_sm.jpg,/objects/thumbs/impresion_010_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Policromático,Impresión,Positivo
impresion_011,Arquitectura de Nantucket,1980,,Anónimo,,"Fotografía a color de una residencia de estilo colonial tradicional de Nueva Inglaterra, identificada por la inscripción manuscrita como el número 6 de la calle Weymouth. La imagen muestra una casa con revestimiento de tejas de cedro y fachada lateral blanca, una cerca de estacas de madera y un muro de piedra en primer plano, capturando la estética residencial típica de la costa noreste estadounidense en la segunda mitad del siglo XX.",,Arquitectura de Nantucket; Polaroid; Nueva Inglaterra,"6 Weymouth Street, Nantucket, Massachusetts, EE. UU.",41.277833,-70.098744,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_011.jpg,a843sb,image,/objects/impresion_011.jpg,/objects/small/impresion_011_sm.jpg,/objects/thumbs/impresion_011_th.jpg,,,Película instantánea de tipo integral,Película,Transmisión,Monocromático,Impresión,Positivo
impresion_012,Presa de Mount Morris,1970,,Anónimo,,"Una toma panorámica que muestra una imponente presa de concreto de tipo gravedad situada en el fondo de un cañón profundo con laderas de roca sedimentaria. El paisaje circundante es boscoso bajo un cielo nublado, con el embalse extendiéndose en el primer plano. La imagen documenta una obra de ingeniería hidráulica de gran escala capturada desde un mirador elevado.",,Presa de Mount Morris; Río Genesee; Parque Estatal Letchworth,"Mount Morris, Nueva York, Estados Unidos",42.7325,-77.9161,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_012.jpg,f6rhg,image,/objects/impresion_012.jpg,/objects/small/impresion_012_sm.jpg,/objects/thumbs/impresion_012_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Policromático,Impresión,Positivo
impresion_013,Retrato de estudio,1900,,Coover Studio,,"Retrato de estudio de un hombre de mediana edad con un bigote espeso y bien definido. Viste ropa formal de principios del siglo XX, que incluye un saco oscuro, camisa blanca de cuello alto rígido y una corbata con patrón gráfico. La fotografía está contenida en un marco ovalado impreso, montada sobre un soporte de cartón grueso de tono neutro que presenta un sello seco de estudio en la esquina inferior derecha.",,Retrato de estudio; Moda masculina finisecular; Fotografía de gabinete,"Lincoln, Nebraska, Estados Unidos",40.8136,-96.7026,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_013.jpg,qsa34e,image,/objects/impresion_013.jpg,/objects/small/impresion_013_sm.jpg,/objects/thumbs/impresion_013_th.jpg,,,Impresión plata gelatina de revelado,Vidrio,Transmisión,Sepia,Impresión,Positivo
impresion_014,Retrato de estudio,1905,,Anónimo (Estudio fotográfico comercial),,"Retrato de estudio de una niña pequeña en posición frontal, ataviada con ropa de invierno que incluye un abrigo claro, un gorro ornamentado con lazos y calzado de lana. La infante sostiene lo que parece ser una muñeca o juguete de felpa. La imagen está capturada en un entorno controlado con iluminación dirigida y un fondo oscuro liso.",,Retrato de estudio; Moda infantil eduardiana; Fotografía de gabinete,Noreste de los Estados Unidos,40.7127,-74.0059,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_014.jpg,0so2zq,image,/objects/impresion_014.jpg,/objects/small/impresion_014_sm.jpg,/objects/thumbs/impresion_014_th.jpg,,,Impresión plata gelatina de revelado,Papel,Reflexión,Monocromático,Impresión,Positivo
impresion_015,Retrato de estudio,1895,,Albany Art Union (Estudio fotográfico),,"Retrato de estudio de un hombre de edad madura con anteojos redondos, barba densa y bigote entrecano. Viste indumentaria formal compuesta por una chaqueta oscura, camisa blanca de cuello rígido y una corbata de lazo (bow tie) oscura. El sujeto posa de tres cuartos mirando hacia un punto fuera de cámara.",,Retrato de estudio; Albany Art Union; Moda masculina victoriana,"Albany, Nueva York, Estados Unidos",42.652579,-73.756232,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_015.jpg,9z6ejg,image,/objects/impresion_015.jpg,/objects/small/impresion_015_sm.jpg,/objects/thumbs/impresion_015_th.jpg,,,Impresión plata gelatina de revelado,Papel,Reflexión,Policromático,Impresión,Positivo
impresion_016,Retrato Victoriano,1895,,C. H. Gallup & Co.,,"Retrato de estudio de busto de dos mujeres jóvenes. Ambas visten indumentaria formal de la era victoriana tardía, con blusas de cuello alto y detalles ornamentales en encaje y seda. La imagen está centrada en un formato ovalado sobre un soporte de cartón que incluye el sello del fotógrafo y una identificación manuscrita de los sujetos.",,Retrato Victoriano; Fotografía de Estudio; Moda Eduardiana,"Poughkeepsie, Nueva York, Estados Unidos",41.7003,-73.921,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_016.jpg,0n147b,image,/objects/impresion_016.jpg,/objects/small/impresion_016_sm.jpg,/objects/thumbs/impresion_016_th.jpg,,,Impresión plata gelatina de revelado,Vidrio,Transmisión,Policromático,Impresión,Positivo
impresion_017,Fotografía amateur,1958,,Anónimo,,"Paisaje costero capturado en octubre de 1958, mostrando una extensión de agua bajo un cielo brumoso. En el primer plano se observa una franja de terreno oscuro con vegetación rasa, separada del cuerpo de agua por una delgada línea clara. Al fondo, se divisa una silueta lejana que sugiere una escollera o infraestructura portuaria en una zona litoral no especificada.",,Fotografía amateur; Paisaje marítimo; Década de 1950,"Posiblemente Bahía de San Francisco, California, Estados Unidos",37.8044,-122.4298,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_017.jpg,2jq42s,image,/objects/impresion_017.jpg,/objects/small/impresion_017_sm.jpg,/objects/thumbs/impresion_017_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Monocromático,Negativo,Negativo
impresion_018,Pesca deportiva,1950,,Anónimo,,"Una hilera de aproximadamente nueve ejemplares de peces, aparentemente lobinas, dispuestos sobre una superficie clara junto a un muelle. Al fondo se alcanza a distinguir el casco de una pequeña embarcación y equipo de pesca. La imagen captura un momento típico de la cultura del ocio y la pesca recreativa en el México de mediados del siglo XX.",,Pesca deportiva; Centrarchidae; Vida cotidiana,"Región de los Grandes Lagos, Estados Unidos/Canadá",45,-90,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_018.jpg,m40f0k,image,/objects/impresion_018.jpg,/objects/small/impresion_018_sm.jpg,/objects/thumbs/impresion_018_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Monocromático,Impresión,Positivo
impresion_019,Retrato de estudio,1950,,Anónimo,,"Retrato de estudio en plano medio de una mujer joven con el cabello recogido y pendientes pequeños. Viste una prenda con patrón de rayas finas, caracterizada por un cuello oscuro de textura aterciopelada y tres botones grandes visibles. La pose es frontal con un ligero giro, capturada con un efecto de viñeta suave común en la fotografía social de la época.",,Retrato de estudio; Moda años 50; Fotografía analógica,"Madrid, España",40.416775,-3.70379,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_019.jpg,w7pqo,image,/objects/impresion_019.jpg,/objects/small/impresion_019_sm.jpg,/objects/thumbs/impresion_019_th.jpg,,,Copia positiva de gelatina de plata sobre papel baritado,Papel,Transmisión,Monocromático,Negativo,Negativo
impresion_020,Diego Rivera,1932,,Lucienne Bloch,,"Retrato de dos hombres asomados por la ventana de un vagón ferroviario construido con placas de metal remachadas. El hombre de la izquierda viste una camisa oscura y observa directamente a la lente con los brazos apoyados en el marco, mientras que el hombre a su derecha, de complexión más robusta y camisa clara, mantiene la mirada baja en una actitud reflexiva durante lo que parece ser una parada del trayecto.",,Diego Rivera; Muralismo Mexicano; Ferrocarriles,"Detroit, Michigan, Estados Unidos",42.3314,-82.0458,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_020.jpg,221jo,image,/objects/impresion_020.jpg,/objects/small/impresion_020_sm.jpg,/objects/thumbs/impresion_020_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Monocromático,Negativo,Negativo
impresion_021,Policía Militar,1944,,Anónimo (Soldado compañero),,"Retrato de cuerpo completo de un hombre joven uniformado como Policía Militar (MP). El sujeto posa de pie frente a un paisaje rural invernal con árboles desnudos y un suelo lodoso que muestra huellas de neumáticos de gran tamaño. Viste una chaqueta de campo M-1943, pantalones de lana y casco reglamentario marcado, situando la escena probablemente en Europa a mediados de la década de 1940.",,Policía Militar; Segunda Guerra Mundial; Uniforme M-1943,"Ardenas, Bélgica / Frontera Franco-Alemana",50.0014,5.7153,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_021.jpg,hwixn,image,/objects/impresion_021.jpg,/objects/small/impresion_021_sm.jpg,/objects/thumbs/impresion_021_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Monocromático,Impresión,Positivo
impresion_022,Sasha Montenegro,1975,,Jaime Silva,,"Hoja de contacto fotográfica que muestra doce retratos de estudio de una mujer joven con cabello oscuro rizado en poses de desnudo artístico y erótico. Las imágenes presentan marcas de edición en crayón azul y rojo, así como anotaciones manuscritas, indicando un proceso de selección editorial propio de la producción de cine de variedades o revistas de espectáculos en México durante las décadas de 1970 u 1980.",,Sasha Montenegro; Cine de Ficheras; Vedette,"Ciudad de México, México",19.4326,-99.1332,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_022.jpg,vqacu,image,/objects/impresion_022.jpg,/objects/small/impresion_022_sm.jpg,/objects/thumbs/impresion_022_th.jpg,,,Impresión plata gelatina de revelado,Película,Transmisión,Monocromático,Impresión,Positivo
impresion_023,Puente Golden Gate,1950,,Anónimo,,"Una toma instantánea capturada desde el interior de un vehículo en movimiento, encuadrada por el marco oscuro de una ventana de bordes redondeados. En la distancia se observa la silueta de un gran puente de estructura metálica bajo un cielo brumoso, con un terreno en primer plano que parece estar en proceso de nivelación o construcción.",,Puente Golden Gate; San Francisco; Fotografía de viaje,"San Francisco, California, Estados Unidos",37.8199,-122.4783,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_023.jpg,m5qlwg,image,/objects/impresion_023.jpg,/objects/small/impresion_023_sm.jpg,/objects/thumbs/impresion_023_th.jpg,,,Copia fotográfica positiva en papel,Película,Transmisión,Monocromático,Impresión,Positivo
impresion_024,Violinista,1905,,Anónimo,,"Un retrato grupal de quince individuos, hombres y mujeres, posando de manera formal en un entorno interior decorado con paneles acristalados. El foco central es un hombre sentado que sostiene un violín. Los integrantes presentan una vestimenta típica de la clase media o alta de principios del siglo XX, sugiriendo un evento social o familiar.",,Violinista; Vestimenta eduardiana; Retrato grupal,"Región del Medio Oeste, Estados Unidos",41.8781,-87.6298,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_024.jpg,am1nir,image,/objects/impresion_024.jpg,/objects/small/impresion_024_sm.jpg,/objects/thumbs/impresion_024_th.jpg,,,Impresión de gelatina de plata sobre papel fotográfico,Vidrio,Transmisión,Monocromático,Impresión,Positivo
impresion_025,Moda eduardiana,1900,,Anónimo,,"Retrato de estudio de una mujer joven en posición sedente, capturada con una pose formal. La protagonista viste una indumentaria invernal elegante compuesta por un abrigo oscuro de textura pesada con ribetes de piel en cuello y puños, complementado con un sombrero prominente adornado con grandes lazos de tela.",,Moda eduardiana; Retrato de estudio; Sombrero Merry Widow,"Nueva York, Estados Unidos",40.7128,-74.006,,,,,,,,Image;StillImage,image/jpeg,es,,impresion_025.jpg,suhg9r,image,/objects/impresion_025.jpg,/objects/small/impresion_025_sm.jpg,/objects/thumbs/impresion_025_th.jpg,,,Impresión plata gelatina de revelado,Papel,Reflexión,Monocromático,Impresión,Positivo
